text,tag,is_diff,relabel_intent,older_intents,is_confuse,orlder_tag
tăng hắt trần thứ 2 lên 22 phần trăm,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng bóng kiểng thứ 3 lên 1 phần trăm,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng thêm ánh sáng bóng hắt tường 2 lên mức 51 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn tăng bóng led 3 ở phòng tắm xông hơi 2 phòng 10 lên 26 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
tăng lên đèn làm việc cổng chính thêm 10 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
bạn tăng đèn vườn 4 ở phòng làm việc 5 7 lên 5 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
hãy tăng giúp ta cái đèn ngủ thứ 4 ở phòng nam,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom
tăng đèn chùm 4 15 phần trăm tại phòng chánh 5 phòng 7,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber
tăng lên đèn lồng thứ 1 sân vườn thêm 24 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng đèn trụ cổng 4 29 phần trăm tại phòng thực hành lầu trệt 9,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber
hãy tăng giúp ta cái bòng hắt trần 1 ở phòng ăn trưa 1,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
tăng độ sáng điện thêm 8 phần trăm,B-commandcommand O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng lên độ sáng led 1 phòng hội nghị 4 lên 72 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn tăng bóng ốp tường thứ 1 ở phòng ngủ con lên 4 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O
bạn giúp mình tăng bóng 4 lên 3 phần trăm với,O O O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn có thể giúp mình tăng mức độ của bóng hắt bên phòng thờ lên 23 phần trăm được không,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
ơi bạn đèn tuýp tăng lên 29 phần trăm ná,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn giúp mình tăng rèm đôi thứ 4 lên 19 phần trăm với,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn có thể tăng giúp mình đèn tường 1 lên mức 7 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn có thể tăng giúp mình độ sáng ốp tường lên được không,O O O O O O O O B-devicedevice I-devicedevice O O O,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O O O O B-devicedevice I-devicedevice O O O
ơi bạn đèn ngủ tăng lên 18 phần trăm ná,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
giúp mình tăng bóng để bàn lên 3 phần trăm ở khách 3 phòng 2 nhé,O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O
thay đổi bóng hắt tường 2 nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O,True,smart.home.set.level,smart.home.increase.percentage,1111111111111111,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
bật loa đài thứ 1 đi trợ lý,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,True,smart.home.device.onoff,smart.home.increase.percentage,1111111111111111,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O
ốp trần 2 thêm 29 phần trăm,B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng bóng tuýp thứ 4 lên 17 phần trăm,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
bạn giúp mình tăng bóng đứng thứ 4 lên 15 phần trăm với,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
mình muốn tăng đèn ốp tường 2,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
hãy tăng giúp ta cái van nước 2 ở sân sau,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom
ơi bạn quạt treo tường 3 tăng lên 19 phần trăm ná,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bật đèn để bàn thứ 2 đi trợ lý,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,True,smart.home.device.onoff,smart.home.increase.percentage,1111111111111111,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O
tăng độ sáng đèn đứng phòng là lên 96 phần trăm,B-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
trợ lí ngốc nghếch tôi muốn tăng mức độ động cơ thứ 3,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
bạn có thể giúp mình tăng mức độ của bóng tuýp thứ 3 bên phòng nghiên cứu 2 lên 13 phần trăm được không,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
tăng đến ánh sáng đèn led lên mức 77 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng đến mỗi tvs thứ 2 lên 95 phần trăm,B-commandcommand I-commandcommand B-allall B-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand B-allall B-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
giúp tôi tăng đến đèn nhiều màu thứ 2 phòng tắm 1 thêm 14 phần trăm nữa,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn tăng đèn vách ở phòng xông hơi 3 9 lên 4 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
bạn có thể tăng giúp mình bóng hắt tường 3 lên mức 27 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn có thể tăng giúp mình van nước 2 lên mức 27 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn tăng đèn cảnh ở ga ra phòng 1 lên 18 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
làm ơn tăng thêm đèn âm trần 4 lên 81 phần trăm giúp tôi,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
trợ lí ngốc nghếch tôi muốn tăng mức độ rèm cửa,O O O O O O O O O B-devicedevice I-devicedevice,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O O O O O B-devicedevice I-devicedevice
mình muốn tăng huỳnh quang thứ 1,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
trợ lý béo tăng đèn ốp tường thứ 4 lên 10 phần trăm ở phòng cuối 5 phòng 3,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber
ơi bạn bóng tiết kiệm điện tăng lên 6 phần trăm ná,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn tăng âm thanh đa vùng ở phòng ăn trưa lên 7 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O
rèm ngang đại sảnh tăng thêm lên 92 phần trăm,B-devicedevice I-devicedevice B-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-devicedevice I-devicedevice B-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng đến quạt treo tường 2 phòng giặt đến 95 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
mình muốn tăng mức độ của bóng vách 4,O O O O O O B-devicedevice I-devicedevice I-devicedevice,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O O B-devicedevice I-devicedevice I-devicedevice
em tăng giúp anh rèm ngang thứ 1 nhé,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
trợ lý béo tăng đèn tường thứ 2 lên 7 phần trăm ở tiền sảnh 5 10,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber
hãy tăng đến độ sáng quầy lễ tân lên 65 phần trăm,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn có thể tăng giúp mình độ sáng đèn tuýp thứ 4 lên được không,O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O
