text,tag,intent
các chuyến bay jetstar từ côn_đảo đến đà_nẵng vào buổi sáng,O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day,flight
có những loại phương_tiện giao_thông đường_bộ nào ở sân_bay thành_phố đà_nẵng,O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,ground_service
trong hai ngày tới tôi muốn bay từ pleiku đến cà_mau hoặc đến huế,O O O B-depart_date.date_relative O O O O B-fromloc.city_name O B-toloc.city_name B-or O B-toloc.city_name,flight
hãng hàng_không vietnam airlines có chuyến bay từ huế đến thành_phố hồ_chí_minh không,B-airline_name I-airline_name I-airline_name I-airline_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,flight
đà_nẵng đến cà_mau,B-fromloc.city_name O B-toloc.city_name,flight
vna có bao_nhiêu chuyến bay hạng thương_gia,B-airline_code O O O O B-class_type I-class_type,quantity
cho tôi biết các chuyến bay hạng nhất từ đà_lạt đến đà_nẵng,O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name,flight
tôi muốn tìm giá vé một_chiều rẻ nhất từ hà_nội đến thành_phố vinh,O O O O O B-round_trip B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airfare
có bao_nhiêu hạng ghế,O O O O,quantity
các chuyến bay từ cam_ranh đến cà_mau vào thứ tư ngày mười chín,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number,flight
chuyến bay nào rời buôn_ma_thuột vào ngày 5 tháng 7 sau 7 giờ tối và đến cần_thơ,O O O O B-fromloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name,flight
liệt_kê giúp tôi tất_cả các chuyến bay đến và đi từ sân_bay quốc_tế nội bài,O O O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name,flight
london nằm trong múi_giờ nào,B-city_name O O O O,city
cho tôi biết các loại phương_tiện giao_thông đường_bộ có ở hà_nội và ở đà_nẵng,O O O O O O O O O O B-city_name O O B-city_name,ground_service
tôi muốn tìm chuyến bay đầu_tiên từ đà_nẵng đến hà_nội có phục_vụ bữa ăn,O O O O O B-flight_mod O B-fromloc.city_name O B-toloc.city_name O O B-meal I-meal,flight
từ đồng_hới đến điện_biên_phủ,O B-fromloc.city_name O B-toloc.city_name,flight
bạn có_thể cho tôi biết các chuyến bay từ đà_lạt đến đà_nẵng với giá vé phổ_thông được không,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-economy O O,flight
những chuyến bay nào khởi_hành từ hải_phòng,O O O O O O B-fromloc.city_name,flight
các chuyến bay nào từ buôn_ma_thuột đến huế,O O O O O B-fromloc.city_name O B-toloc.city_name,flight
hiển_thị các chuyến bay rời phú_quốc đến pleiku của vietjet mà khởi_hành sau giữa trưa,O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time,flight
vui_lòng cung_cấp cho tôi danh_sách tất_cả các chuyến bay giữa đà_lạt và đà_nẵng và chi_phí tương_ứng,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O,airfare#flight
mã giá vé y có nghĩa là gì,O O O B-fare_basis_code O O O O,abbreviation
giao_thông đường_bộ ở hải_phòng,O O O B-city_name,ground_service
được rồi vậy bạn có_thể cho tôi biết chuyến bay nào rời thanh_hoá đến thành_phố hồ_chí_minh của vietnam airlines,O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name,flight
cho tôi biết tất_cả các chuyến bay từ huế đến thành_phố hồ_chí_minh vào thứ tư tới khởi_hành sau giữa trưa,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.date_relative O B-depart_time.time_relative B-depart_time.time I-depart_time.time,flight
có chuyến bay nào bay từ prague đến thành_phố hồ_chí_minh mà có dừng lại ở amsterdam không,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name O,flight
hiển_thị các chuyến khởi_hành và điểm đến tại hạ_long của hãng hàng_không jetstar pacific,O O O O O O O O B-city_name O B-airline_name I-airline_name I-airline_name I-airline_name,flight
tìm cho tôi chuyến bay sớm nhất từ hà_nội đến cam_ranh và chuyến bay trở về muộn nhất từ cam_ranh đến hà_nội trong cùng một ngày,O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative O O,flight
tôi muốn bay từ cà_mau đến tuy_hoà vào tối thứ tư hoặc sáng thứ năm,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name B-or B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name,flight
tôi muốn một chuyến bay xuất_phát từ hà_nội có đi qua cả hongkong và los angeles,O O O O O O O B-fromloc.city_name O O O O B-toloc.city_name O B-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay từ đà_lạt đến hạ_long,O O O O O O O B-fromloc.city_name O B-toloc.city_name,flight
có những chuyến bay nào còn chỗ khởi_hành từ huế đến thành_phố hồ_chí_minh,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
chi_phí của một chuyến bay từ hà_nội đến huế là bao_nhiêu,O O O O O O B-fromloc.city_name O B-toloc.city_name O O,airfare
cho tôi chuyến bay sớm nhất từ cà_mau đến buôn_ma_thuột có phục_vụ đồ_ăn nhẹ,O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O O B-meal_description I-meal_description,flight
bạn có_thể cho tôi biết giá vé khứ_hồi từ đà_nẵng đến hạ_long được không,O O O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name O O,airfare
có chuyến bay nào rời hà_nội lúc 6 giờ 45 sáng để đến hongkong không,O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name O,flight
tất_cả các chuyến bay đến sân_bay của thành_phố hạ_long,O O O O O O O B-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay từ hạ_long đến quy nhơn vào thứ_sáu,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name,flight
mã giá vé qx có nghĩa là gì,O O O B-fare_basis_code O O O O,abbreviation
tôi muốn biết thông_tin về chuyến bay của vna từ hà_nội đến phú_yên,O O O O O O O O B-airline_code O B-fromloc.city_name O B-toloc.city_name,flight
hãng hàng_không nào có chuyến bay từ hà_nội đến washington dc và có điểm dừng ở một_số thành_phố khác,O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O O O,airline
giao_thông đường_bộ ở cần_thơ,O O O B-city_name,ground_service
liệt_kê tất_cả các chuyến bay vào buổi chiều của vietnam airlines từ thành_phố hồ_chí_minh đến huế,O O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
cho tôi biết tất_cả các chuyến bay từ thành_phố hồ_chí_minh đến hà_nội vào một ngày thứ hai,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name I-depart_date.day_name,flight
chuyến bay muộn nhất rời hà_nội đến huế,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,flight
"được rồi , vui_lòng cho tôi biết loại phi_cơ được sử_dụng trên chuyến bay từ chu lai đến sài_gòn",O O O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,aircraft
vui_lòng cho tôi biết các chuyến bay từ cà_mau đến đà_nẵng vào ngày 28,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number,flight
những hãng hàng_không nào có chuyến bay bay từ sài_gòn đến đà_nẵng và từ đà_nẵng đến hà_nội,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name,airline
tôi muốn thực_hiện một chuyến bay bắt_đầu từ boston và hạ_cánh ở dallas fort worth nhưng tôi muốn có một điểm dừng ở philadelphia,O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O O B-stoploc.city_name,flight
cho tôi chuyến bay sớm nhất vào ngày_mai của vietnam airlines từ huế đến cà_mau,O O O O B-flight_mod I-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name,flight
các chuyến bay của hãng hàng_không jetstar từ huế đến cà_mau,O O O O B-airline_name I-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name,flight
chuyến bay nào còn trống vào giữa trưa từ hà_nội đến chu lai chuyến bay nào còn chỗ vào khoảng giờ trưa từ hà_nội đến chu lai,O O O O O O B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
tôi cần một chuyến bay trở về khởi_hành từ hà_nội đến côn_đảo,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,flight
các chuyến bay của bamboo airways với một điểm dừng tại huế,O O O O B-airline_name I-airline_name O O O O O B-stoploc.city_name,flight
giá vé hạng nhất từ đà_nẵng đến đà_lạt là bao_nhiêu,O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O O,airfare
bạn có_thể vui_lòng cho tôi biết các hãng hàng_không bay có các chuyến bay từ huế đến hải_phòng được không,O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O,airline
chuyến bay sớm nhất từ điện_biên_phủ đến quy nhơn vào ngày ba_mươi tháng sáu,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name,flight
cho tôi biết các chuyến bay không dừng từ sài_gòn đến dubai,O O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name O B-toloc.city_name,flight
cho tôi xem giá vé hạng phổ_thông từ đà_lạt đến đà_nẵng,O O O O O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name,airfare
tôi muốn một chuyến bay của hãng hàng_không jetstar vào ngày 20 tháng 8 từ hà_nội đến buôn_ma_thuột,O O O O O O B-airline_name I-airline_name I-airline_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name,flight
bạn có chuyến bay không nghỉ nào vào thứ tư từ huế đến washington dc không,O O O O B-flight_stop I-flight_stop O O B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O,flight
dli là gì,B-airport_code O O,abbreviation
tôi muốn bay từ hà_nội đến thành_phố hồ_chí_minh,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
chuyến bay nào rời đà_lạt đi hạ_long vào ngày 27 tháng 8 vào buổi tối,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name O B-depart_time.period_of_day I-depart_time.period_of_day,flight
các chuyến bay sáng thứ tư giữa đà_nẵng và cần_thơ,O O O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name,flight
cho tôi biết các chuyến bay từ đà_lạt đến côn_đảo,O O O O O O O B-fromloc.city_name O B-toloc.city_name,flight
có những chuyến bay nào của jetstar bay đến côn_đảo sau 11 giờ tối,O O O O O O B-airline_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time,flight
giá vé rẻ nhất mà jetstar có cho một chuyến bay giữa hà_nội và thành_phố hồ_chí_minh là bao_nhiêu,O O B-cost_relative I-cost_relative O B-airline_name O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O,airfare
tôi muốn đi từ hà_nội đến thành_phố hồ_chí_minh,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
giá vé máy_bay khứ_hồi từ buôn_ma_thuột đến thành_phố vinh dưới 3 triệu rưỡi,O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-cost_relative B-fare_amount I-fare_amount I-fare_amount,airfare
có hãng hàng_không nào có chuyến bay phản_lực giữa buôn_ma_thuột và đà_nẵng không,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,airline
dad có nghĩa là gì,B-airport_code O O O O,abbreviation
cho tôi xem các chuyến bay từ tuy_hoà phú_yên đến sân_bay quốc_tế tân_sơn nhất vào thứ_bảy tới,O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name O B-depart_date.day_name B-depart_date.date_relative,flight
tôi muốn bay từ đà_lạt đến thành_phố vinh,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay giữa thành_phố hà_nội và cam_ranh,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
mất bao_lâu để đi từ sân_bay đà_nẵng đến trung_tâm thành_phố đà_nẵng,O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name,distance
cho tôi xem tất_cả giá vé hạng nhất từ đà_lạt đến đà_nẵng,O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name,airfare
có chuyến bay nào giữa thành_phố hồ_chí_minh và thành_phố newyork có điểm dừng ở tokyo không,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O,flight
cho tôi xem thông_tin giao_thông đường_bộ của thành_phố hồ_chí_minh,O O O O O O O B-city_name I-city_name,ground_service
cần một chuyến bay giá rẻ từ đà_nẵng đến thành_phố hồ_chí_minh,O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
tìm chuyến bay sớm nhất từ hà_nội đến cần_thơ có phục_vụ bữa sáng,O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O O B-meal_description I-meal_description,flight
tôi muốn bay từ los angeles đến san francisco rồi đến thành_phố hồ_chí_minh,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-toloc.city_name I-toloc.city_name,flight
cho tôi biết tất_cả các chuyến bay trực_tiếp từ hạ_long đến kyoto,O O O O O O O B-connect O B-fromloc.city_name O B-toloc.city_name,flight
chuyến bay muộn nhất từ thanh_hoá đến cà_mau,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,flight
các chuyến bay từ thành_phố hà_nội đến cam_ranh đến vào chủ_nhật,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name,flight
tôi muốn bay một chuyến bay của united airlines từ washington dc đến denver colorado,O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name,flight
được rồi tôi cần xem các chuyến bay hạng phổ_thông của vietnam airlines giữa đà_lạt và đà_nẵng,O O O O O O O O B-economy I-economy O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name,flight
vui_lòng cho tôi biết các chuyến bay từ buôn_ma_thuột đến hạ_long vào sáng thứ tư có phục_vụ bữa sáng,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O O B-meal_description I-meal_description,flight
tôi cần thông_tin về các chuyến bay rời đà_nẵng và đến hạ_long,O O O O O O O O B-fromloc.city_name O O B-toloc.city_name,flight
cho tôi xem tất_cả các chuyến bay từ sài_gòn đến phú_quốc và sẽ đến phú_quốc trước 9 giờ sáng mai,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative,flight
cho tôi xem giá vé từ thanh_hoá đến thành_phố hồ_chí_minh,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airfare
vui_lòng cung_cấp cho tôi các chuyến bay còn chỗ từ đà_nẵng đến điện_biên_phủ,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,flight
các chuyến bay vào ngày 1 tháng 12 năm 2022 từ hà_nội đến thành_phố hồ_chí_minh,O O O O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_date.year I-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
các chuyến bay từ huế đến đà_lạt trong khoảng từ 10 giờ sáng đến 2 giờ chiều,O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time,flight
có những loại phương_tiện giao_thông đường_bộ nào ở hạ_long,O O O O O O O O B-city_name,ground_service
liệt_kê các chuyến bay không dừng từ baltimore washington đến busan và hạ_cánh trong khoảng từ 4h45 đến 5h15 chiều,O O O O B-flight_stop I-flight_stop O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,flight
cho tôi xem các chuyến bay từ đà_nẵng đến thành_phố hồ_chí_minh trong khoảng từ 6 giờ chiều đến 8 giờ tối ngày thứ_sáu,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name,flight
tôi muốn bay từ huế đến thành_phố hồ_chí_minh,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
giá vé hạng hai chỉ vào các ngày trong tuần từ huế đến hà_nội,O O B-class_type I-class_type B-flight_mod I-flight_mod I-flight_mod I-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,airfare
giá vé hạng hai cho các chuyến bay từ quy nhơn đến phuket khởi_hành sau 3 giờ chiều là bao_nhiêu,O O B-class_type I-class_type O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O,airfare
từ thành_phố điện_biên_phủ đến huế,O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
tôi muốn có một chuyến bay không có điểm dừng từ thành_phố vinh đến buôn_ma_thuột,O O O O O O B-flight_stop I-flight_stop I-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
tôi có những lựa_chọn nào cho các chuyến bay khởi_hành vào đầu buổi chiều từ côn_đảo đến hạ_long,O O O O O O O O O O O B-depart_time.period_mod B-depart_time.period_of_day I-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name,flight
chuyến bay nào rẻ nhất bay từ sài_gòn đến hạ_long trước 8 giờ,O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time,flight
liệt_kê các chuyến bay khứ_hồi hàng ngày có_thể có giữa hà_nội và cần_thơ,O O O O B-round_trip B-flight_days I-flight_days O O O B-fromloc.city_name O B-toloc.city_name,flight
vui_lòng cho tôi giá vé khứ_hồi từ đà_nẵng đến thanh_hoá,O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name,airfare
tìm một chuyến bay từ hà_nội đến los angeles dừng ở san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name I-stoploc.city_name,flight
xin vui_lòng liệt_kê các chuyến bay từ phú_quốc đến đồng_hới vào đêm thứ_sáu mà có phục_vụ bữa ăn,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name O O O B-meal I-meal,flight
giá vé máy_bay giá rẻ nhất hiện có cho chuyến bay từ đà_lạt đến đà_nẵng đến vào ngày 4 tháng 7,O O O O B-cost_relative I-cost_relative O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name,airfare
bạn có_thể cho tôi biết các chuyến bay từ đà_nẵng đến đà_lạt được không,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O,flight
tôi cần thông_tin của các chuyến bay vào thứ_bảy từ pleiku đến cà_mau,O O O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name,flight
cho tôi biết các chuyến bay từ đà_nẵng đến sài_gòn và sau đó đến paris,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-toloc.city_name,flight
chuyến bay sớm nhất mà bạn có để rời hà_nội đi đến thành_phố vinh,O O B-flight_mod I-flight_mod O O O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name,flight
chuyến bay nào rẻ nhất từ huế đến hạ_long,O O O B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name,flight
có các loại phương_tiện giao_thông đường_bộ nào sau khi tôi hạ_cánh xuống đà_lạt,O O O O O O O O O O O O B-city_name,ground_service
cho tôi biết các chuyến bay đi từ cần_thơ đến hà_nội vào các buổi sáng thứ năm,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name,flight
tìm một chuyến bay của jetstar từ thành_phố vinh đến thành_phố hồ_chí_minh,O O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
bạn có chuyến bay nào từ toronto đến hà_nội và dừng chân ở vancouver không,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O,flight
ff có nghĩa là gì,B-airline_code O O O O,abbreviation
hiển_thị tất_cả các chuyến bay không ngừng từ hà_nội đến thành_phố hồ_chí_minh,O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
loại phương_tiện giao_thông đường_bộ nào có_thể sử_dụng ở huế,O O O O O O O O B-city_name,ground_service
tôi muốn đi từ hạ_long đến buôn_ma_thuột,O O O O B-fromloc.city_name O B-toloc.city_name,flight
sắp_xếp một chuyến bay khứ_hồi từ hà_nội đến buôn_ma_thuột,O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name,flight
xin liệt_kê các chuyến bay trong ngày thứ ba từ hạ_long đến điện_biên_phủ,O O O O O O O B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name,flight
cho tôi biết tất_cả các chuyến bay từ hạ_long đến thành_phố hồ_chí_minh,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
giá vé rẻ nhất tôi có_thể đặt được cho một chuyến bay từ đà_lạt đến huế là bao_nhiêu,O O B-cost_relative I-cost_relative O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O,airfare
chuyến bay muộn nhất từ rạch_giá đến huế,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,flight
côn_đảo đến thành_phố vinh của jetstar,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name,flight
bạn có_thể cho tôi biết tất_cả các chuyến bay từ cần_thơ đến hải_phòng được không,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O,flight
những thành_phố nào có các chuyến bay của hãng hàng_không jetstar pacific,O O O O O O O O B-airline_name I-airline_name I-airline_name I-airline_name,city
thành_phố hồ_chí_minh đến thành_phố vinh,B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
các chuyến bay từ pleiku đến đồng_hới,O O O O B-fromloc.city_name O B-toloc.city_name,flight
có những chuyến bay nào còn chỗ khởi_hành vào buổi chiều thứ_sáu từ hà_nội đến rome lazio,O O O O O O O O O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name,flight
cho tôi biết thông_tin về các chuyến bay từ huế đến rạch_giá rời khỏi huế trong khoảng từ 5 rưỡi đến 7 giờ tối,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time,flight
có những loại phương_tiện giao_thông đường_bộ nào ở đà_lạt,O O O O O O O O B-city_name,ground_service
